categoria,n,gt_pos,pred_pos,matches,exact_matches,TP,FP,FN,TN,precision,recall,f1
No Finding,19137,7111,6458,10862,8865,2647,3811,4464,8215,0.4098792195726231,0.37224019125298835,0.3901540275628271
Enlarged Cardiomediastinum,19137,1164,4987,14038,12460,526,4461,638,13512,0.10547423300581511,0.4518900343642612,0.17102910095919363
Cardiomegaly,19137,3585,12086,7382,6271,1958,10128,1627,5424,0.16200562634453086,0.5461645746164575,0.2498883287601302
Lung Opacity,19137,4086,10843,8754,6407,2273,8570,1813,6481,0.20962833164253436,0.5562897699461576,0.3045080045548932
Lung Lesion,19137,650,10437,8738,2013,344,10093,306,8394,0.03295966273833477,0.5292307692307693,0.062054658609181926
Edema,19137,2876,789,15910,13853,219,570,2657,15691,0.27756653992395436,0.07614742698191933,0.1195088676671214
Consolidation,19137,1025,9418,9648,6142,477,8941,548,9171,0.05064769590146528,0.4653658536585366,0.09135305946567078
Pneumonia,19137,2759,2173,14949,12721,372,1801,2387,14577,0.17119190059825126,0.1348314606741573,0.1508515815085158
Atelectasis,19137,3991,8632,9582,5007,1534,7098,2457,8048,0.17771084337349397,0.38436482084690554,0.243048403707518
Pneumothorax,19137,1008,3972,14471,5359,157,3815,851,14314,0.039526686807653574,0.15575396825396826,0.06305220883534136
Pleural Effusion,19137,4289,8010,11250,8218,2206,5804,2083,9044,0.2754057428214732,0.5143390067614828,0.35872835189852836
Pleural Other,19137,221,9711,9427,9107,111,9600,110,9316,0.01143033673154155,0.502262443438914,0.022351993556182035
Fracture,19137,470,5922,13043,5699,149,5773,321,12894,0.025160418777440054,0.3170212765957447,0.04662077596996245
Support Devices,19137,4353,6207,12253,12071,1838,4369,2515,10415,0.29611728693410666,0.4222375373305766,0.3481060606060606
